input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1440066464.807	287951	0	0	0	n	n	nwmxxf	 12.65	 427.95	nwmxxf	Random	0	0	1.00
1440066465.961	287951	0	1	1154	w	w	nwmxxf	 12.65	 427.95	nwmxxf	Random	1154	0	1.00
1440066466.803	287951	0	2	842	m	m	nwmxxf	 12.65	 427.95	nwmxxf	Random	1996	0	1.00
1440066468.114	287951	0	3	1311	x	x	nwmxxf	 12.65	 427.95	nwmxxf	Random	3307	0	1.00
1440066468.363	287951	0	4	248	x	x	nwmxxf	 12.65	 427.95	nwmxxf	Random	3555	0	1.00
1440066469.549	287951	0	5	1187	f	f	nwmxxf	 12.65	 427.95	nwmxxf	Random	4742	0	1.00
1440066475.664	287951	1	0	0	a	a	awnjvd	 12.41	 429.88	awnjvd	Random	0	0	1.00
1440066476.413	287951	1	1	749	w	w	awnjvd	 12.41	 429.88	awnjvd	Random	749	0	1.00
1440066478.067	287951	1	2	1653	n	n	awnjvd	 12.41	 429.88	awnjvd	Random	2402	0	1.00
1440066479.065	287951	1	3	999	j	j	awnjvd	 12.41	 429.88	awnjvd	Random	3401	0	1.00
1440066480.001	287951	1	4	935	v	v	awnjvd	 12.41	 429.88	awnjvd	Random	4336	0	1.00
1440066480.5	287951	1	5	499	d	d	awnjvd	 12.41	 429.88	awnjvd	Random	4835	0	1.00
1440066484.151	287951	2	0	0	o	o	odcdpu	 16.44	 279.49	odcdpu	Random	0	0	1.00
1440066484.962	287951	2	1	810	d	d	odcdpu	 16.44	 279.49	odcdpu	Random	810	0	1.00
1440066485.679	287951	2	2	717	c	c	odcdpu	 16.44	 279.49	odcdpu	Random	1527	0	1.00
1440066486.397	287951	2	3	719	d	d	odcdpu	 16.44	 279.49	odcdpu	Random	2246	0	1.00
1440066487.489	287951	2	4	1092	p	p	odcdpu	 16.44	 279.49	odcdpu	Random	3338	0	1.00
1440066487.801	287951	2	5	312	u	u	odcdpu	 16.44	 279.49	odcdpu	Random	3650	0	1.00
1440066491.015	287951	3	0	0	b	b	bsrpqj	 10.81	 968.85	bsrpqj	Random	0	0	1.00
1440066491.327	287951	3	1	311	s	s	bsrpqj	 10.81	 968.85	bsrpqj	Random	311	0	1.00
1440066492.637	287951	3	2	1310	r	r	bsrpqj	 10.81	 968.85	bsrpqj	Random	1621	0	1.00
1440066495.351	287951	3	3	2714	p	p	bsrpqj	 10.81	 968.85	bsrpqj	Random	4335	0	1.00
1440066495.975	287951	3	4	624	q	q	bsrpqj	 10.81	 968.85	bsrpqj	Random	4959	0	1.00
1440066496.568	287951	3	5	593	j	j	bsrpqj	 10.81	 968.85	bsrpqj	Random	5552	0	1.00
1440066500.499	287951	4	0	0	v	v	vwmbqq	 11.66	 489.54	vwmbqq	Random	0	0	1.00
1440066501.747	287951	4	1	1247	w	w	vwmbqq	 11.66	 489.54	vwmbqq	Random	1247	0	1.00
1440066502.839	287951	4	2	1092	m	m	vwmbqq	 11.66	 489.54	vwmbqq	Random	2339	0	1.00
